treeID,height,ch_area,live,species,x,y,b_mean,g_mean,r_mean,re_mean,nir_mean,ndvi_mean,rgi_mean,cire_mean,cig_mean,ndre_mean,crs
eldo_3k_2_20848,18.775,20.847434438524942,0,NA,715554.938,4268852,0.03921899364604542,0.06051967238499856,0.06681889698029408,0.12013539943382057,0.20541572594083846,0.49547604030977926,1.1153578951845398,0.708099514946354,2.4102055447156787,0.27817482673972355,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_17786,21.444,15.217463165565277,0,NA,715572.125,4268838,0.045347175988383955,0.060844854014828184,0.07329216195343234,0.11227307983052835,0.18934079633572362,0.43783613031054686,1.1981593361781164,0.70030507265225,2.1552417653556093,0.2102055040339811,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_10007,27.737,7.780264981964137,0,NA,715530.375,4268835,0.04427191173009451,0.05818753315557762,0.06302515145658788,0.10645738178195216,0.19243829128491943,0.4933677437917114,1.0915942259270044,0.815592183032251,2.3563109598145027,0.2515231174470025,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_26678,11.881,5.685107011162472,0,NA,715598.5,4268834.5,0.04402152878853182,0.06020880549525221,0.0748249140692254,0.10886257438609998,0.1762438614666462,0.40024282783897125,1.2468841607767944,0.6251723095393703,1.9529875707941586,0.1833764580316111,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_16901,22.163,14.255650878301822,0,NA,715534.688,4268832,0.03855573876670457,0.05669747866577716,0.0565408643669989,0.1145554753655954,0.21181652761428688,0.5659713207172143,0.9915252200233616,0.8425674124261866,2.8064599452622088,0.3414031255489946,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_21246,18.372,22.22889093795675,0,NA,715544.688,4268832,0.03452984219783087,0.049983896885414374,0.050502251549612964,0.10150160806467969,0.20199573542353877,0.5919062177157258,1.011481012779956,1.009136461065162,3.131377740243879,0.3341111955660571,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_23883,15.568,6.573404983035289,0,NA,715549,4268831,0.03880322614859732,0.057718452243826664,0.056553793734077984,0.11987591462750588,0.231075625328496,0.593629412309797,0.9872549579053213,0.9190493361039935,2.997769441842923,0.3525859997882499,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_17932,21.331,14.500698594521964,0,NA,715579.938,4268829,0.04794789599188241,0.06125826842751495,0.07860682745664117,0.10711895022899288,0.17282697904951164,0.3763517511810236,1.2816477770711554,0.6298223763027844,1.8749541692212572,0.15570640396211619,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_20684,18.938,41.67955339315813,0,NA,715516.375,4268825,0.02078098747502751,0.039083695627920245,0.030996136249475302,0.09763956217008879,0.24129129406411734,0.7603570896080263,0.7667956478578164,1.52960664487862,5.6857391311387575,0.5341108983892698,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_15667,23.14,8.392884273926029,0,NA,715540.438,4268826.5,0.03774542300337077,0.051646317167428346,0.05493114923786492,0.09750605869698944,0.1773814055539602,0.5240868278085666,1.0594243108857921,0.8370550485111661,2.5480515998669766,0.2831394950413269,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_16908,22.155,23.797196320607327,0,NA,715544.813,4268826,0.038366477043095266,0.060618958182442985,0.061291876978142874,0.12437625965532406,0.21999364080042333,0.5446529607570338,1.022182026470641,0.7615020733776009,2.628420727558584,0.33139331867239874,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_10692,27.158,22.39123505121097,0,NA,715565.875,4268821.5,0.03887168173794541,0.058488632464521746,0.05928147154823426,0.11823858948398942,0.22293635428336048,0.5607702892807577,1.0029461678230946,0.8794721719720168,2.91783204448273,0.3357703058308693,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_25270,13.917,0.940370610187529,0,NA,715567.563,4268801.5,0.045463043666229795,0.05841500145884661,0.07075659446418285,0.1063415428193716,0.17021237646157925,0.40966463293731925,1.2211641486209117,0.6051832861667774,1.9360604271971507,0.19804500393098892,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_11569,26.393,9.618122853746172,0,NA,715562.938,4268791,0.040339259682061895,0.05818200274222041,0.058090879687990184,0.11855625996914579,0.2399444178412367,0.5947795411512661,0.9792438823695467,1.0183611029884099,3.2729035411668903,0.3517330661640255,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_7716,29.786,14.301597324141767,0,NA,715556.813,4268788,0.04139484675749516,0.057381942269129856,0.06281960118499968,0.10948376239506653,0.1971420995784784,0.5104277710909436,1.0864071916989682,0.8051055777198671,2.5233326551918527,0.27650426984566984,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_754,41.039,7.42188269685721,0,NA,715686.188,4268772,0.03804422190532251,0.05269220421606497,0.058294232427947755,0.099549366019332855,0.17250320577527764,0.5008963507778295,1.0915421956018123,0.7765414235367777,2.4318035765681927,0.2705689952152184,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_4318,33.478,8.815591583494097,0,NA,715686.688,4268769.5,0.04041804216494351,0.06340089244142867,0.0640572973858828,0.13479082689022648,0.23940046508628202,0.5570891883914739,1.0079170788403657,0.7615346296621592,2.786561025684154,0.3531784780332146,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
